cohort,cust_id,org_id
1,11824,11593
1,11801,11570
1,11791,11560
1,11784,11553
1,11776,11545
1,11769,11538
1,11768,11537
1,11767,11536
1,11755,11524
1,11746,11515
1,11724,11493
1,11721,11490
1,11693,11462
1,11690,11459
1,11667,11436
1,11653,11422
1,11648,11417
1,11644,11413
1,11643,11412
1,11627,11396
1,11622,11391
1,11616,11385
1,11612,11381
1,11607,11376
1,11603,11372
1,11599,11368
1,11595,11364
1,11580,11349
1,11565,11334
1,11556,11325
1,11536,11305
1,11521,11290
1,11517,11286
1,11512,11282
1,11503,11274
1,11502,11273
1,11487,11258
1,11484,11256
1,11475,11248
1,11474,11247
1,11471,11244
1,11462,11235
1,11460,11233
1,11449,11222
1,11434,11207
1,11422,11199
1,11418,11195
1,11417,11194
1,11404,11181
1,11395,11172
1,11389,11168
1,11377,11156
1,11368,11147
1,11318,11097
1,11311,11090
1,11306,11085
1,11301,11080
1,11286,11066
1,11285,11065
1,11284,11064
1,11255,11035
1,11224,11005
1,11196,10977
1,11193,10974
1,11188,10969
1,11169,10950
1,11162,10943
1,11161,10942
1,11160,10941
1,11140,10921
1,11139,10920
1,11134,10915
1,11112,10893
1,11111,10892
1,11100,10881
1,11097,10878
1,11092,10873
1,11087,10868
1,11071,10852
1,11069,10850
1,11046,10828
1,11033,10815
1,11002,10784
1,10999,10781
1,10996,10778
1,10983,10765
1,10963,10745
1,10944,10726
1,10878,10662
1,10860,10645
1,10857,10642
1,10853,10638
1,10827,10612
1,10826,10611
1,10815,10601
1,10801,10587
1,10784,10570
1,10783,10569
1,10781,10567
1,10769,10555
1,10768,10554
1,10760,10546
1,10755,10541
1,10739,10525
1,10723,10509
1,10721,10507
1,10715,10501
1,10688,10474
1,10671,10457
1,10650,10436
1,10648,10434
1,10643,10429
1,10630,10417
1,10629,10416
1,10618,10405
1,10614,10401
1,10611,10398
1,10591,10378
1,10566,10354
1,10544,7517
1,10514,10308
1,10511,10305
1,10502,10296
1,10500,10294
1,10497,10291
1,10491,10285
1,10469,10266
1,10467,10264
1,10461,10258
1,10457,10254
1,10456,10253
1,10452,10249
1,10437,10234
1,10413,10210
1,10372,10169
1,10368,10165
1,10358,10155
1,10342,10139
1,10331,10128
1,10321,10119
1,10286,10085
1,10285,10084
1,10260,10060
1,10254,10054
1,10250,10050
1,10226,10027
1,10223,10024
1,10218,10019
1,10214,10015
1,10199,10000
1,10178,9979
